i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.092292717206105954e+04,-2.167197489486024509e+01,1.738437852466295226e+03,2.167197489486024509e+01,1.682970194932650321e-01,6.307349447976229317e-04,1.682958375710636445e-01,-8.846624864790456622e-01,-4.548033186062001576e-01,-2.167197489486024509e+01,-1.092292717206105954e+04
1,1.441108677914866121e+03,-3.015481900745886605e+02,2.293595696227770588e+02,3.015481900745886605e+02,2.515413226395176172e-01,-6.198812264140007855e-02,-2.437837354021647196e-01,8.721148261927440526e-01,-3.201597402368502876e-01,-3.015481900745886605e+02,-1.441108677914866121e+03
2,5.248455353425762041e+03,-3.756361782901042261e+02,8.353176130948305627e+02,3.756361782901042261e+02,1.614485945834859271e-01,-1.605112484099252557e-01,1.737204152856175812e-02,2.604007839976928973e-01,-8.744216045202694021e-01,-3.756361782901042261e+02,-5.248455353425762041e+03
