i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,5.212359303506034848e+03,-8.537429252984144057e+01,8.295727483240142419e+02,8.537429252984144057e+01,3.087903494320888287e-01,-1.022673540226805289e-01,-2.913638072986952654e-01,2.877843528676916618e-01,-9.361359090071632583e-01,-8.537429252984144057e+01,-5.212359303506034848e+03
1,4.317474148542183684e+03,-9.117214421893871190e+01,6.871473524119605827e+02,9.117214421893871190e+01,3.698166640423077300e-01,2.920352223898529664e-01,2.268915906046106157e-01,4.831606235617387224e-01,-8.503026118270540223e-01,-9.117214421893871190e+01,-4.317474148542183684e+03
2,1.009648281906915145e+04,-1.746644447785655530e+02,1.606905148497249911e+03,1.746644447785655530e+02,2.066981932497309049e-01,-1.937728601921900884e-03,-2.066891102612046227e-01,-7.471376738631831937e-01,-6.000295818497097811e-01,-1.746644447785655530e+02,-1.009648281906915145e+04
3,7.117728314115479407e+03,-5.351050639203800756e+02,1.132821644776621270e+03,5.351050639203800756e+02,2.195426949711326847e-01,5.461639412612106365e-02,2.126406461800001702e-01,-1.458074535183674358e-01,-8.653346722655065326e-01,-5.351050639203800756e+02,-7.117728314115479407e+03
