i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,7.717758662924918553e+02,-1.352769283356996741e-02,1.228319440794797686e+02,1.352769283356996741e-02,1.114720413472845145e-02,1.201334793728581207e-03,1.108228111602860277e-02,9.822978170211691396e-01,-1.873082843295896249e-01,-1.352769283356996741e-02,-7.717758662924918553e+02
1,4.111924027970264433e+03,-3.397190434445621077e-02,6.544330346698045560e+02,3.397190434445621077e-02,5.016399643528110519e-02,4.178499642076033416e-02,-2.775681200130775128e-02,5.370223883982978563e-01,-8.435581584293089241e-01,-3.397190434445621077e-02,-4.111924027970264433e+03
2,8.303045144532874474e+03,-5.585279843686717649e-02,1.321470677467567612e+03,5.585279843686717649e-02,3.053402762994709627e-02,-2.143030141167415192e-02,2.175014999284302641e-02,-4.406365136078028710e-01,-8.976704246956106470e-01,-5.585279843686717649e-02,-8.303045144532874474e+03
3,9.926567773797345581e+03,-1.608875464074344674e-01,1.579862329136558856e+03,1.608875464074344674e-01,2.999477573211974113e-02,-1.152505999059583175e-02,2.769222929692238822e-02,-7.530182851716844539e-01,-6.579398961230840115e-01,-1.608875464074344674e-01,-9.926567773797345581e+03
4,3.345316129506927609e+03,-1.675964548960262590e-01,5.324235982160746516e+02,1.675964548960262590e-01,8.697547628669249908e-02,-7.911350906381721393e-02,-3.613566325538142276e-02,6.845821614955005519e-01,-7.288795739379609895e-01,-1.675964548960262590e-01,-3.345316129506927609e+03
5,4.039858666142004495e+03,-2.271152756365835967e-01,6.429634761091309656e+02,2.271152756365835967e-01,5.279086975779150037e-02,-5.083097554005067131e-02,-1.425088963647097584e-02,5.517541204462474980e-01,-8.339403459412756403e-01,-2.271152756365835967e-01,-4.039858666142004495e+03
6,6.114489123379890771e+03,-3.162974376564182122e-01,9.731511684675396054e+02,3.162974376564182122e-01,5.735823100711531786e-02,5.661012870631818017e-02,9.233633744073599381e-03,7.791604228452986280e-02,-9.968824705912192607e-01,-3.162974376564182122e-01,-6.114489123379890771e+03
7,2.731310768696961873e+02,-3.626290283892251165e-01,4.347016099582458537e+01,3.626290283892251165e-01,4.509282216941584015e-02,-2.382802395621397284e-02,3.828299734274542843e-02,9.976892212022654416e-01,-6.662708620840994411e-02,-3.626290283892251165e-01,-2.731310768696961873e+02
