i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,2.543596996305847824e+03,-1.138699154561712135e+01,4.048260351957731586e+02,1.138699154561712135e+01,1.791189477747833214e-01,-3.543970750204898656e-02,1.755779729468214534e-01,8.110418587311938321e-01,-5.802296764345812319e-01,-1.138699154561712135e+01,-2.543596996305847824e+03
1,1.330834274522272153e+03,-1.437025303558471379e+01,2.118088532263360548e+02,1.437025303558471379e+01,6.787411404059545683e-02,-4.951895004855663696e-02,4.641948882618496253e-02,9.443602563757571566e-01,-3.181061785033424960e-01,-1.437025303558471379e+01,-1.330834274522272153e+03
2,6.810414178819240988e+03,-2.059235201158448092e+01,1.083911081062213498e+03,2.059235201158448092e+01,2.753766392910687588e-01,2.753649070250734354e-01,2.541937512219955009e-03,-9.131290789509970141e-02,-9.907862910688592928e-01,-2.059235201158448092e+01,-6.810414178819240988e+03
3,1.065570048722085812e+04,-9.282261123521260515e+01,1.695907404647917247e+03,9.282261123521260515e+01,2.284174269379212474e-01,-1.550777633194941885e-01,-1.677063154826422542e-01,-8.384381575396618880e-01,-5.027023809434436608e-01,-9.282261123521260515e+01,-1.065570048722085812e+04
