i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,9.366859136561937703e+03,3.555301185734786600e+02,1.490781932829315110e+03,-3.555301185734786600e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.159189747184829811e-01,-8.228232513242247359e-01,3.555301185734786600e+02,-9.366859136561937703e+03
1,4.809893749542605292e+03,1.232589390751858645e+02,7.655183659865164145e+02,-1.232589390751858645e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.979959444363707632e-01,-9.505957412723545774e-01,1.232589390751858645e+02,-4.809893749542605292e+03
2,5.513757438755918884e+03,1.181432370235372105e+02,8.775417513877129068e+02,-1.181432370235372105e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.292982618459168398e-01,-1.003397129234857799e+00,1.181432370235372105e+02,-5.513757438755918884e+03
3,6.672602521946302659e+03,9.031903757107281194e+01,1.061977674655201099e+03,-9.031903757107281194e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.952220833011082068e-02,-1.020561172536672556e+00,9.031903757107281194e+01,-6.672602521946302659e+03
4,9.971928336276947448e+03,9.000900424157771340e+01,1.587081686876616232e+03,-9.000900424157771340e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.771802262136873196e-01,-6.640185984531314922e-01,9.000900424157771340e+01,-9.971928336276947448e+03
5,1.128973181670479107e+03,7.643429397844907669e+01,1.796816624810411156e+02,-7.643429397844907669e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.803793599424694971e-01,-2.772777189425109645e-01,7.643429397844907669e+01,-1.128973181670479107e+03
6,5.847262059750664775e+03,6.181481272045004260e+01,9.306206603630157588e+02,-6.181481272045004260e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.449234604834492290e-01,-1.004808603388534394e+00,6.181481272045004260e+01,-5.847262059750664775e+03
7,8.859150700016436531e+03,4.483719477641645312e+01,1.409977625503640638e+03,-4.483719477641645312e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.642327892551528556e-01,-8.389135443258635139e-01,4.483719477641645312e+01,-8.859150700016436531e+03
8,4.114691121484734140e+03,4.049214856658853989e+01,6.548734312806299158e+02,-4.049214856658853989e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.417864347825526172e-01,-8.523120131685728573e-01,4.049214856658853989e+01,-4.114691121484734140e+03
9,7.399147225373428228e+03,3.294315915681116991e+01,1.177610855582863223e+03,-3.294315915681116991e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.353468031853368780e-01,-9.802180766146265656e-01,3.294315915681116991e+01,-7.399147225373428228e+03
10,9.226434261884720399e+03,2.964474146476524652e+01,1.468432619891376135e+03,-2.964474146476524652e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.347309393405425881e-01,-7.821105265709402676e-01,2.964474146476524652e+01,-9.226434261884720399e+03
11,1.103272311835921755e+04,2.840695198721757464e+01,1.755912420051099389e+03,-2.840695198721757464e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.075630929353021292e-01,-4.362298215429685211e-01,2.840695198721757464e+01,-1.103272311835921755e+04
12,3.870411889594876129e+02,2.783298695661313360e+01,6.159951840306676019e+01,-2.783298695661313360e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002326791915547854e+00,-9.499524261964810423e-02,2.783298695661313360e+01,-3.870411889594876129e+02
13,2.167886576871357647e+03,2.397572040725970410e+01,3.450298647716447249e+02,-2.397572040725970410e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.682436653497921375e-01,-5.078667405868676488e-01,2.397572040725970410e+01,-2.167886576871357647e+03
14,7.187135111397236869e+03,2.386541237968779683e+01,1.143868079648190133e+03,-2.386541237968779683e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839093751460950943e-01,-9.888875245544082038e-01,2.386541237968779683e+01,-7.187135111397236869e+03
15,8.944170060876904245e+03,2.219559275579227986e+01,1.423508877043097755e+03,-2.219559275579227986e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.783174190584778884e-01,-8.224631268964442965e-01,2.219559275579227986e+01,-8.944170060876904245e+03
