i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,3.689738744371518351e+03,1.105490080536734013e+03,5.872401598844103319e+02,-1.105490080536734013e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.133648916813464025e-01,-1.026686040639404496e+00,1.105490080536734013e+03,-3.689738744371518351e+03
1,9.366859136561937703e+03,3.555301185734786600e+02,1.490781932829315110e+03,-3.555301185734786600e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.159189747184829811e-01,-8.228232513242247359e-01,3.555301185734786600e+02,-9.366859136561937703e+03
2,6.146688024063311786e+03,2.211299438336715184e+02,9.782757826734309674e+02,-2.211299438336715184e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.397010209103616063e-02,-1.052875474551793200e+00,2.211299438336715184e+02,-6.146688024063311786e+03
3,2.665212980561349013e+03,1.756635898860122893e+02,4.241818202490222802e+02,-1.756635898860122893e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.305337954536841094e-01,-6.322759235104014053e-01,1.756635898860122893e+02,-2.665212980561349013e+03
4,1.010623912348515660e+04,1.655228817406523660e+02,1.608457912571366251e+03,-1.655228817406523660e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.133904717292854691e-01,-6.500565607862510698e-01,1.655228817406523660e+02,-1.010623912348515660e+04
5,9.582993503848101682e+03,1.577394078625968064e+02,1.525180785754947465e+03,-1.577394078625968064e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.225721508764546552e-01,-7.469634898506318788e-01,1.577394078625968064e+02,-9.582993503848101682e+03
6,8.837402551302391657e+03,1.386527887315960470e+02,1.406516300132702781e+03,-1.386527887315960470e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.727396072917795289e-01,-8.614030736797960719e-01,1.386527887315960470e+02,-8.837402551302391657e+03
7,4.809893749542605292e+03,1.232589390751858645e+02,7.655183659865164145e+02,-1.232589390751858645e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.979959444363707632e-01,-9.505957412723545774e-01,1.232589390751858645e+02,-4.809893749542605292e+03
8,5.513757438755918884e+03,1.181432370235372105e+02,8.775417513877129068e+02,-1.181432370235372105e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.292982618459168398e-01,-1.003397129234857799e+00,1.181432370235372105e+02,-5.513757438755918884e+03
9,1.108341382305806474e+04,1.138677430927888565e+02,1.763980096272732453e+03,-1.138677430927888565e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.321391722046789008e-01,-4.339248175978728805e-01,1.138677430927888565e+02,-1.108341382305806474e+04
10,5.207141907004765017e+03,1.023823920064097308e+02,8.287423738807667632e+02,-1.023823920064097308e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.025312485644120475e-01,-9.796616260692845302e-01,1.023823920064097308e+02,-5.207141907004765017e+03
11,6.672602521946302659e+03,9.031903757107281194e+01,1.061977674655201099e+03,-9.031903757107281194e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.952220833011082068e-02,-1.020561172536672556e+00,9.031903757107281194e+01,-6.672602521946302659e+03
12,9.971928336276947448e+03,9.000900424157771340e+01,1.587081686876616232e+03,-9.000900424157771340e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.771802262136873196e-01,-6.640185984531314922e-01,9.000900424157771340e+01,-9.971928336276947448e+03
13,3.268931093288722423e+03,8.759962363088547477e+01,5.202665421236938528e+02,-8.759962363088547477e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.131739938932132317e-01,-7.314944067397280980e-01,8.759962363088547477e+01,-3.268931093288722423e+03
14,3.636755794394443456e+03,8.234410280772675605e+01,5.788076614959683184e+02,-8.234410280772675605e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.438730164223838148e-01,-7.914883876828608944e-01,8.234410280772675605e+01,-3.636755794394443456e+03
15,1.128973181670479107e+03,7.643429397844907669e+01,1.796816624810411156e+02,-7.643429397844907669e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.803793599424694971e-01,-2.772777189425109645e-01,7.643429397844907669e+01,-1.128973181670479107e+03
