i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,3.689738744371518351e+03,1.105490080536734013e+03,5.872401598844103319e+02,-1.105490080536734013e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.133648916813464025e-01,-1.026686040639404496e+00,1.105490080536734013e+03,-3.689738744371518351e+03
1,6.146688024063311786e+03,2.211299438336715184e+02,9.782757826734309674e+02,-2.211299438336715184e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.397010209103616063e-02,-1.052875474551793200e+00,2.211299438336715184e+02,-6.146688024063311786e+03
2,2.665212980561349013e+03,1.756635898860122893e+02,4.241818202490222802e+02,-1.756635898860122893e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.305337954536841094e-01,-6.322759235104014053e-01,1.756635898860122893e+02,-2.665212980561349013e+03
3,1.010623912348515660e+04,1.655228817406523660e+02,1.608457912571366251e+03,-1.655228817406523660e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.133904717292854691e-01,-6.500565607862510698e-01,1.655228817406523660e+02,-1.010623912348515660e+04
4,9.582993503848101682e+03,1.577394078625968064e+02,1.525180785754947465e+03,-1.577394078625968064e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.225721508764546552e-01,-7.469634898506318788e-01,1.577394078625968064e+02,-9.582993503848101682e+03
5,8.837402551302391657e+03,1.386527887315960470e+02,1.406516300132702781e+03,-1.386527887315960470e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.727396072917795289e-01,-8.614030736797960719e-01,1.386527887315960470e+02,-8.837402551302391657e+03
6,1.108341382305806474e+04,1.138677430927888565e+02,1.763980096272732453e+03,-1.138677430927888565e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.321391722046789008e-01,-4.339248175978728805e-01,1.138677430927888565e+02,-1.108341382305806474e+04
7,5.207141907004765017e+03,1.023823920064097308e+02,8.287423738807667632e+02,-1.023823920064097308e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.025312485644120475e-01,-9.796616260692845302e-01,1.023823920064097308e+02,-5.207141907004765017e+03
8,3.268931093288722423e+03,8.759962363088547477e+01,5.202665421236938528e+02,-8.759962363088547477e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.131739938932132317e-01,-7.314944067397280980e-01,8.759962363088547477e+01,-3.268931093288722423e+03
9,3.636755794394443456e+03,8.234410280772675605e+01,5.788076614959683184e+02,-8.234410280772675605e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.438730164223838148e-01,-7.914883876828608944e-01,8.234410280772675605e+01,-3.636755794394443456e+03
10,6.707749928820634523e+03,7.040493567227001392e+01,1.067571558196113074e+03,-7.040493567227001392e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.794610543226087263e-02,-1.015065746515335654e+00,7.040493567227001392e+01,-6.707749928820634523e+03
11,7.031486301611958879e+03,6.427183175343704136e+01,1.119095802184492868e+03,-6.427183175343704136e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.476571835932889432e-01,-1.005026226714002657e+00,6.427183175343704136e+01,-7.031486301611958879e+03
12,7.212936554557833006e+03,5.736632017863378508e+01,1.147974506866103638e+03,-5.736632017863378508e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.916963433549265794e-01,-9.958209700657256747e-01,5.736632017863378508e+01,-7.212936554557833006e+03
13,1.111659412848773536e+04,4.802553284255334631e+01,1.769260905895163432e+03,-4.802553284255334631e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.207039404646090164e-01,-4.195608818210544433e-01,4.802553284255334631e+01,-1.111659412848773536e+04
14,2.061787237816683046e+03,4.641443274007108499e+01,3.281436305023102591e+02,-4.641443274007108499e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.859464021369145570e-01,-4.878739933761445657e-01,4.641443274007108499e+01,-2.061787237816683046e+03
15,7.510124456404749253e+03,4.432186012086284421e+01,1.195273430472149357e+03,-4.432186012086284421e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.625435895899099203e-01,-9.761906951571838187e-01,4.432186012086284421e+01,-7.510124456404749253e+03
