i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,8.838904478819951692e+03,-5.703548500610838623e+00,1.406755339321288375e+03,5.703548500610838623e+00,1.061177008896335566e-01,-1.000494556553387510e-01,3.537050840986230571e-02,-5.532108435061461327e-01,-8.313703754477652641e-01,-5.703548500610838623e+00,-8.838904478819951692e+03
1,1.091383362489402134e+04,-1.423307884022309722e+01,1.736990569484421712e+03,1.423307884022309722e+01,1.620220218076023622e-01,-1.102126096683711531e-01,1.187615940475305332e-01,-8.852568848056245887e-01,-4.575965428311833394e-01,-1.423307884022309722e+01,-1.091383362489402134e+04
2,1.416657023304776430e+03,-2.575724107098221793e+02,2.254679679248055493e+02,2.575724107098221793e+02,2.832111888538260125e-01,-2.766749067562148112e-01,-6.049440853035373961e-02,8.834446842639471775e-01,-3.183474362663183399e-01,-2.575724107098221793e+02,-1.416657023304776430e+03
3,5.203631882245626002e+03,-3.591853964538771606e+02,8.281837360899749001e+02,3.591853964538771606e+02,1.220562113459640330e-01,6.691097057008518756e-02,-1.020815396900920102e-01,2.710403956375712076e-01,-8.750270049476963630e-01,-3.591853964538771606e+02,-5.203631882245626002e+03
