event,equation_class,equation,r2,source_kind,M_final_Msun,chi_final,zh_pred,has_rational_core,has_x3_square,has_x3_linear,has_x0x3_coupling,has_x3x1_bilinear,fits_base_core,fits_base_plus_x3,fits_base_plus_x0x3,ansatz_status
GW150914,square_x3_plus_rational,neg((x2 * (((x4 / x1) + square(x3 - 0.8077009)) - 26.597477)) - 5.190074),0.9931422119225892,community_ringdown_pilot,62.8947854783675,0.6067675788186017,1.3606071472167969,yes,yes,no,no,no,no,yes,no,base_plus_x3
GW170104,mixed_x0_x3_coupled,neg((((x4 / x1) - 13.17248) - ((x3 + x0) * 6.932565)) * x2),0.994566512696865,community_ringdown_t0_selected,82.64191370161068,0.4608595016394539,1.365721344947815,yes,no,no,yes,no,no,no,yes,base_plus_x0x3
GW170814,square_x3_plus_rational,square(2.1517012 - x3) + (x2 * ((x4 / neg(x1)) + 23.891819)),0.9951462775387728,community_ringdown_t0_selected,63.81781490838661,0.7206382397930899,1.3501298427581787,yes,yes,no,no,no,no,yes,no,base_plus_x3
GW170823,mixed_x0_x3_coupled,x2 * ((13.266534 - (x4 / x1)) - ((x3 + x0) * -6.895242)),0.9945892587643218,community_ringdown_single_pass,76.57476515432445,0.4749515854051285,1.3654944896697998,yes,no,no,yes,no,no,no,yes,base_plus_x0x3
GW190421_213856,square_x3_plus_rational,square(x3 + -2.175832) + (x2 * (neg(x4 / x1) - -24.204292)),0.9947828355836866,community_ringdown_single_pass,121.90259603738912,0.2836636095725934,1.3760106563568115,yes,yes,no,no,no,no,yes,no,base_plus_x3
GW190503_185404,x3_x1_bilinear,((x2 * (22.628174 - (x4 / x1))) + 4.2389197) - ((x3 * x1) * 8.968058),0.9966824900862268,community_ringdown_single_pass,130.91562962802442,0.20604350798273136,1.389824628829956,yes,no,no,no,yes,no,no,no,outside_master_ansatz
GW190828_063405,linear_x3_rational,((x2 * (neg(x4 / x1) + 21.721323)) + 5.3621006) + (x3 / -0.1307417),0.9924588297780877,community_ringdown_single_pass,84.8411542174124,0.5990150140059536,1.3611843585968018,yes,no,yes,no,no,no,yes,no,base_plus_x3
