i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.092006169599504028e+04,-1.679836906006649855e+01,1.737981797786076868e+03,1.679836906006649855e+01,1.614202770986370716e-01,6.370081932365793953e-02,-1.483196260651147291e-01,-8.853969579231215636e-01,-4.559643029566717298e-01,-1.679836906006649855e+01,-1.092006169599504028e+04
1,1.525674365930407930e+03,-2.758350646718965322e+02,2.428186168864175727e+02,2.758350646718965322e+02,2.386095126301428504e-01,-1.054245303020109881e-01,-2.140564596740651138e-01,8.707686703190691269e-01,-3.402249543072695115e-01,-2.758350646718965322e+02,-1.525674365930407930e+03
2,5.085055702674381791e+03,-5.861479812334976032e+02,8.093117509782591696e+02,5.861479812334976032e+02,2.880672909530661574e-01,-2.075946317683124986e-01,1.997178834707027950e-01,2.802854913897436795e-01,-8.200906135386208939e-01,-5.861479812334976032e+02,-5.085055702674381791e+03
