event,f_hz_t66,f_hz_t82a,tau_ms_t66,tau_ms_t82a,M_final_t66,M_final_t82a,chi_t66,chi_t82a,z_t66,z_t82a,r_f_t66,r_f_t82a,r_gamma_t66,r_gamma_t82a,verdict_t66,verdict_t82a,delta_f_hz,delta_tau_ms,delta_r_f,delta_r_gamma,max_abs_residual_t66,max_abs_residual_t82a,delta_max_abs_residual,residual_norm_t66,residual_norm_t82a,delta_residual_norm
GW150914,248.0,253.3,4.2,4.51,63.1,61.5,0.69,0.68,0.09,0.1,0.8629635794524696,0.7310737030946435,1.6825246239592797,0.1835200407310357,marginal,consistent,5.300000000000011,0.3099999999999996,-0.13188987635782612,-1.499004583228244,1.6825246239592797,0.7310737030946435,-0.9514509208646362,1.8909244431469847,0.7537561705926101,-1.1371682725543746
GW170104,287.0,284.8,3.5,4.91,48.9,47.5,0.66,0.67,0.2,0.22,0.5214817530000329,0.2279633616844384,1.0150584554967024,-0.2786136969288568,marginal,consistent,-2.1999999999999886,1.4100000000000001,-0.29351839131559443,-1.2936721524255592,1.0150584554967024,0.2786136969288568,-0.7364447585678455,1.1411778506382508,0.35999011984613544,-0.7811877307921153
GW190519_153544,127.0,121.7,9.5,8.55,100.0,100.0,0.79,0.79,0.45,0.45,0.4415955747558643,0.1525232375570073,0.7882835823248424,0.4617062273007749,consistent,consistent,-5.299999999999997,-0.9499999999999993,-0.289072337198857,-0.32657735502406754,0.7882835823248424,0.4617062273007749,-0.32657735502406754,0.9035472637371267,0.48624682859961776,-0.4173004351375089
GW190521_074359,198.0,204.0,5.4,5.49,72.6,72.6,0.71,0.71,0.21,0.21,0.6447721387193375,0.6095383291672846,1.3236719708272138,0.4024978431653734,marginal,consistent,6.0,0.08999999999999986,-0.03523380955205291,-0.9211741276618404,1.3236719708272138,0.6095383291672846,-0.7141336416599292,1.4723581755885045,0.7304392435218843,-0.7419189320666202
GW190828_063405,239.0,252.4,4.8,6.41,54.3,54.3,0.74,0.74,0.362,0.38,0.4291616558657538,0.8211838353445386,0.7992224979144349,-0.2758647915051895,consistent,consistent,13.400000000000006,1.6100000000000003,0.39202217947878487,-1.0750872894196244,0.7992224979144349,0.8211838353445386,0.021961337430103756,0.9071583809005044,0.8662818678832935,-0.04087651301721085
GW190910_112807,177.0,174.5,5.9,9.49,74.4,74.4,0.69,0.69,0.29,0.29,0.4175445673452388,0.2844516839852642,0.8547535574755591,-0.9290174281600072,consistent,consistent,-2.5,3.59,-0.1330928833599746,-1.7837709856355664,0.8547535574755591,0.9290174281600072,0.07426387068444806,0.9512870806106044,0.971589492711344,0.020302412100739575
