i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.091319766399387481e+04,-2.311343508533906999e+01,1.736889353163550368e+03,2.311343508533906999e+01,1.733020187662191736e-01,-1.725194704778905130e-01,-1.645059313445086657e-02,-8.832687726090026059e-01,-4.567426679606368944e-01,-2.311343508533906999e+01,-1.091319766399387481e+04
1,1.432985189689817389e+03,-1.211565542352399802e+02,2.280666763166117335e+02,1.211565542352399802e+02,2.005228322259526852e-01,-1.998962836643238539e-01,-1.583925569936138131e-02,9.120436647515588469e-01,-3.327667956781268921e-01,-1.211565542352399802e+02,-1.432985189689817389e+03
2,2.923413991135927517e+03,-4.411714509190950594e+03,4.652757873932891926e+02,4.411714509190950594e+03,2.988426459653696021e+00,4.819179917648289124e-01,-2.949313098667497801e+00,2.574611596969679228e-01,-2.229677876337736731e-01,-4.411714509190950594e+03,-2.923413991135927517e+03
