event,ifo,pole_source,mode_rank,freq_hz,damping_hz,tau_ms,omega_re,omega_im,amp_abs,relative_rms,M_final_Msun,chi_final,z,M_final_detector_Msun,is_220_candidate,kerr_220_distance,kerr_220_chi_ref,omega_re_norm,omega_im_norm,sigma_freq_hz,sigma_damping_hz,sigma_M_final_Msun,sigma_chi_final,f_kerr_hz,gamma_kerr_hz,sigma_f_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,kerr_sigma_source
GW150914,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,248.0,238.09523809523807,4.2,1558.2299561805373,-238.09523809523807,,,63.1,0.69,0.09,68.77900000000001,True,0.014293736215951786,0.69,0.484295507655215,-0.07399963897899992,7.5,14.17233560090703,,,233.80159929295635,203.47117320151472,0.0,0.0,1.8931200942724862,2.44307401890112,point_estimate
GW170104,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,287.0,285.7142857142857,3.5,1803.2741831605413,-285.7142857142857,,,48.9,0.66,0.2,58.67999999999999,True,0.054158743418901915,0.66,0.43433032840125657,-0.06881614604259453,20.0,28.571428571428573,,,268.9698322140416,244.9014595025874,0.0,0.0,0.9015083892979192,1.4284489174094417,point_estimate
GW170814,H1+L1+V1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,293.0,270.27027027027026,3.7,1840.9732950036187,-270.27027027027026,,,53.2,0.72,0.124,59.79680000000001,True,0.025463739378638023,0.72,0.4824015039572638,-0.07082057366457249,12.5,18.261504747991232,,,274.251939091519,226.35863040653578,0.0,0.0,1.4998448726784819,2.4046013989381003,point_estimate
GW170823,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,197.0,181.8181818181818,5.5,1237.7875055143784,-181.8181818181818,,,65.4,0.72,0.342,87.76680000000002,True,0.10910076960443615,0.72,0.39872491574614405,-0.058568566012827256,17.0,29.75206611570248,,,186.85184319660445,154.22143396698453,0.0,0.0,0.5969504001997383,0.9275573583319086,point_estimate
GW190408_181802,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,319.0,312.5,3.2,2004.336112990288,-312.5,,,41.4,0.67,0.243,51.46019999999999,True,0.08305756634702738,0.67,0.40871485681965153,-0.06372354014297002,15.5,29.296874999999993,,,308.6329480932849,276.8235070264699,0.0,0.0,0.6688420584977496,1.2177576268298282,point_estimate
GW190421_213856,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,162.0,158.73015873015873,6.3,1017.8760197630929,-158.73015873015873,,,70.5,0.66,0.356,95.59799999999998,True,0.13590461913730822,0.66,0.3534545136323687,-0.05511859004774954,14.0,25.195263290501387,,,165.0991626845746,150.32550517387213,0.0,0.0,-0.2213687631838996,0.3335806996490153,point_estimate
GW190503_185404,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,191.0,188.67924528301887,5.3,1200.088393671301,-188.67924528301887,,,66.5,0.66,0.338,88.977,True,0.09579226067232711,0.66,0.3930831367569855,-0.06180097230163167,16.0,28.479886080455678,,,177.3846022491201,161.51160011701705,0.0,0.0,0.8509623594299942,0.9539239408912389,point_estimate
GW190512_180714,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,381.0,384.6153846153846,2.6,2393.893602035422,-384.6153846153846,,,34.3,0.65,0.17,40.13099999999999,True,0.08120404507979145,0.65,0.4044347798355558,-0.06497859314467101,37.5,29.585798816568044,,,390.81972223891415,361.2230507821911,0.0,0.0,-0.2618592597043774,0.7906608835619405,point_estimate
GW190513_205428,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,241.0,232.55813953488374,4.3,1514.2476590302804,-232.55813953488374,,,52.1,0.71,0.304,67.9384,True,0.11591201487371762,0.71,0.3885833305857092,-0.05967862382112101,27.0,40.562466197944836,,,239.82223553839816,201.4844198225356,0.0,0.0,0.043620905985253304,0.766070769975089,point_estimate
GW190519_153544,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,127.0,105.26315789473684,9.5,797.9645340118075,-105.26315789473684,,,100.0,0.79,0.822,182.20000000000002,True,0.13783608529496708,0.79,0.3930367150977219,-0.051847273953090266,9.0,17.72853185595568,,,94.0896489760075,68.41092344593218,0.0,0.0,3.6567056693325006,2.0786963493778874,point_estimate
