i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,5.928086372593161286e+03,-7.996591499867263586e+00,9.434842492739048794e+02,7.996591499867263586e+00,1.139056917639804239e-01,2.896920440911946934e-02,-1.101603005267032254e-01,1.229555589536584226e-01,-9.904468475451264631e-01,-7.996591499867263586e+00,-5.928086372593161286e+03
1,6.534072775538744281e+03,-1.032150278455853254e+01,1.039929980749171591e+03,1.032150278455853254e+01,2.319344785149640431e-01,9.423102929391484472e-02,-2.119295058320518343e-01,-2.437235923671873805e-02,-9.971854743672764476e-01,-1.032150278455853254e+01,-6.534072775538744281e+03
2,2.752880997450623909e+03,-3.082565076083902511e+01,4.381346184880141550e+02,3.082565076083902511e+01,1.067182086270490327e-01,-1.211825071722694158e-02,1.060279399598086647e-01,7.766550450666307448e-01,-6.179547415753525730e-01,-3.082565076083902511e+01,-2.752880997450623909e+03
3,7.311751550894965703e+02,-3.535541734616897713e+01,1.163701401984765766e+02,3.535541734616897713e+01,2.448401279930567109e-01,2.307815773317022368e-01,-8.177133874376724121e-02,9.756514575421519897e-01,-1.760369407089725224e-01,-3.535541734616897713e+01,-7.311751550894965703e+02
