event,mode_rank,f_obs_hz,sigma_f_obs_hz,f_kerr_hz,sigma_f_kerr_hz,gamma_obs_hz,sigma_gamma_obs_hz,gamma_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,max_abs_residual,kerr_sigma_source,verdict_kerr
GW150914,0,248.0,7.5,233.80159929295635,0.0,238.09523809523807,14.17233560090703,203.47117320151472,0.0,1.8931200942724862,2.44307401890112,2.44307401890112,point_estimate,tension
GW170104,0,287.0,20.0,268.9698322140416,0.0,285.7142857142857,28.571428571428573,244.9014595025874,0.0,0.9015083892979192,1.4284489174094417,1.4284489174094417,point_estimate,marginal
GW170814,0,293.0,12.5,274.251939091519,0.0,270.27027027027026,18.261504747991232,226.35863040653578,0.0,1.4998448726784819,2.4046013989381003,2.4046013989381003,point_estimate,tension
GW170823,0,197.0,17.0,186.85184319660445,0.0,181.8181818181818,29.75206611570248,154.22143396698453,0.0,0.5969504001997383,0.9275573583319086,0.9275573583319086,point_estimate,consistent
GW190408_181802,0,319.0,15.5,308.6329480932849,0.0,312.5,29.296874999999993,276.8235070264699,0.0,0.6688420584977496,1.2177576268298282,1.2177576268298282,point_estimate,marginal
GW190421_213856,0,162.0,14.0,165.0991626845746,0.0,158.73015873015873,25.195263290501387,150.32550517387213,0.0,-0.2213687631838996,0.3335806996490153,0.3335806996490153,point_estimate,consistent
GW190503_185404,0,191.0,16.0,177.3846022491201,0.0,188.67924528301887,28.479886080455678,161.51160011701705,0.0,0.8509623594299942,0.9539239408912389,0.9539239408912389,point_estimate,consistent
GW190512_180714,0,381.0,37.5,390.81972223891415,0.0,384.6153846153846,29.585798816568044,361.2230507821911,0.0,-0.2618592597043774,0.7906608835619405,0.7906608835619405,point_estimate,consistent
GW190513_205428,0,241.0,27.0,239.82223553839816,0.0,232.55813953488374,40.562466197944836,201.4844198225356,0.0,0.043620905985253304,0.766070769975089,0.766070769975089,point_estimate,consistent
GW190519_153544,0,127.0,9.0,118.22851064433493,0.0,105.26315789473684,17.72853185595568,85.96186380585411,0.0,0.9746099284072298,1.0887136197010412,1.0887136197010412,point_estimate,marginal
GW190521,0,68.0,4.0,57.1978060992159,0.0,63.291139240506325,12.818458580355712,55.28713619793295,0.0,2.7005484751960243,0.6244122873587553,2.7005484751960243,point_estimate,tension
GW190521_074359,0,198.0,7.0,185.47388574211587,0.0,185.18518518518516,13.717421124828531,155.82415941159934,0.0,1.7894448939834473,2.1404187788944067,2.1404187788944067,point_estimate,tension
GW190602_175927,0,105.0,9.5,90.2741814549424,0.0,100.0,17.0,74.50937318037641,0.0,1.5500861626376428,1.4994486364484463,1.5500861626376428,point_estimate,marginal
GW190706_222641,0,108.0,10.5,88.90148320875494,0.0,91.74311926605505,19.35863984513088,65.84023407087045,0.0,1.8189063610709582,1.338052952191253,1.8189063610709582,point_estimate,marginal
GW190708_232457,0,497.0,28.0,443.5639685209744,0.0,476.19047619047615,34.01360544217687,391.8980293745233,0.0,1.9084296956794853,2.4781979363890145,2.4781979363890145,point_estimate,tension
GW190727_060333,0,178.0,17.0,187.78257581587638,0.0,163.9344262295082,25.530771298038164,152.2511922249951,0.0,-0.5754456362280226,0.4576138287451924,0.5754456362280226,point_estimate,consistent
GW190828_063405,0,239.0,10.5,224.61669574587538,0.0,208.33333333333334,23.87152777777778,178.88203401370416,0.0,1.3698385003928213,1.2337417024077388,1.3698385003928213,point_estimate,marginal
GW190910_112807,0,177.0,8.0,167.54855586573984,0.0,169.4915254237288,18.67279517380063,145.81295137979268,0.0,1.1814305167825196,1.26807871149141,1.26807871149141,point_estimate,marginal
GW190915_235702,0,232.0,16.0,227.89054033658218,0.0,217.3913043478261,33.08128544423441,198.32693935386794,0.0,0.25684122896361394,0.5762885189602206,0.5762885189602206,point_estimate,consistent
