event,old_z,old_M_detector_Msun,old_f_kerr_hz,old_residual_f,old_residual_gamma,old_verdict,new_z,new_M_detector_Msun,new_f_kerr_hz,new_residual_f,new_residual_gamma,new_verdict,decision
GW190519_153544,0.822,182.200,94.0896489760075,3.6567056693325006,2.0786963493778874,strong_tension,0.45,145.000,118.22851064433493,0.9746099284072298,1.0887136197010412,marginal,INPUT_HOMOGENEIZATION_FAILURE
GW190521_074359,0.352,98.155,165.99364034612444,4.572337093410795,3.3335108893951415,strong_tension,0.21,87.846,185.47388574211587,1.7894448939834473,2.1404187788944067,tension,INPUT_HOMOGENEIZATION_FAILURE
GW190910_112807,0.438,106.987,150.30433732044813,3.336957834943984,2.071770621146408,strong_tension,0.29,95.976,167.54855586573984,1.1814305167825196,1.26807871149141,marginal,INPUT_HOMOGENEIZATION_FAILURE
