i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,9.598037689246546506e+03,-5.599176523598408534e-02,1.527575142225900890e+03,5.599176523598408534e-02,6.269182563722706927e-64,6.255205252519267425e-64,-4.183984537975411323e-65,-6.979001021462387655e-01,-7.161760314817002815e-01,-5.599176523598408534e-02,-9.598037689246546506e+03
1,1.099850181303959107e+04,-6.941528851305009407e-02,1.750465930150423901e+03,6.941528851305009407e-02,2.820932265510419519e-06,-2.002553667164489414e-06,1.986815959449642521e-06,-8.976245995899199137e-01,-4.407223441142881781e-01,-6.941528851305009407e-02,-1.099850181303959107e+04
2,6.983427562916828720e+03,-8.741473562684477783e-02,1.111447016362401200e+03,8.741473562684477783e-02,2.925385401921036589e-64,2.922854446741688052e-64,1.216619617425474215e-65,-1.337372567177118610e-01,-9.909952896457913107e-01,-8.741473562684477783e-02,-6.983427562916828720e+03
3,4.923430221223379135e+02,-3.096427897430258924e-01,7.835882566757246082e+01,3.096427897430258924e-01,4.698785439943415902e-07,1.940158553722853651e-07,-4.279529109264276070e-07,9.927095135765415801e-01,-1.199026284751406324e-01,-3.096427897430258924e-01,-4.923430221223379135e+02
4,9.977030561907678930e+03,-3.731976233468817794e-01,1.587893731306517338e+03,3.731976233468817794e-01,3.985987416706087187e-64,3.940660614490316480e-64,-5.994077139510872959e-65,-7.610273159439735480e-01,-6.485793826411125895e-01,-3.731976233468817794e-01,-9.977030561907678930e+03
5,7.451209168284763109e+03,-3.956009088853644218e-01,1.185896771144170316e+03,3.956009088853644218e-01,3.882692396666755257e-64,3.869443856397117990e-64,3.204754114193932077e-65,-2.457778215986309855e-01,-9.692265558469814746e-01,-3.956009088853644218e-01,-7.451209168284763109e+03
6,2.181610019214555905e+03,-4.173753696705707061e-01,3.472140184568013410e+02,4.173753696705707061e-01,2.011251836604190142e-64,1.050447181874677736e-64,1.715136924077863649e-64,8.613920205671490304e-01,-5.077401019233482860e-01,-4.173753696705707061e-01,-2.181610019214555905e+03
7,1.076846598331381756e+04,-4.550263630446001462e-01,1.713854590761321560e+03,4.550263630446001462e-01,8.242220235385893855e-64,8.035624204849229690e-64,-1.833831520899861133e-64,-8.713889091790740782e-01,-4.903664066784227393e-01,-4.550263630446001462e-01,-1.076846598331381756e+04
8,8.779256499849121610e+03,-4.625902570140176251e-01,1.397262068622639163e+03,4.625902570140176251e-01,4.859664139105793600e-64,4.353124338446757738e-64,2.160241662160354215e-64,-5.417385147948279300e-01,-8.404127158406198284e-01,-4.625902570140176251e-01,-8.779256499849121610e+03
9,6.391085045599275873e+03,-4.876355666318645254e-01,1.017172776727816085e+03,4.876355666318645254e-01,9.385841969067392566e-06,4.342257851035247171e-06,8.320987094295341350e-06,1.047139118096741123e-02,-9.998261223868166736e-01,-4.876355666318645254e-01,-6.391085045599275873e+03
10,4.210159601289161401e+03,-8.137603501794382632e-01,6.700677117509732170e+02,8.137603501794382632e-01,1.951883947407401383e-64,1.796739459392986919e-64,7.626127845813338369e-65,5.165402372137735121e-01,-8.560309096923975902e-01,-8.137603501794382632e-01,-4.210159601289161401e+03
11,9.413899737235176872e+03,-8.151514950133463833e-01,1.498268676952473015e+03,8.151514950133463833e-01,4.567760110571785412e-06,3.552652941086805379e-06,-2.871078108989381198e-06,-6.648865024392007772e-01,-7.466779726789616323e-01,-8.151514950133463833e-01,-9.413899737235176872e+03
12,7.700958036615161291e+03,-8.812608572160943732e-01,1.225645538070560178e+03,8.812608572160943732e-01,1.469724861846607865e-05,3.147712846702949004e-06,-1.435621888895903928e-05,-3.043458548650759266e-01,-9.523357548893313096e-01,-8.812608572160943732e-01,-7.700958036615161291e+03
13,8.331785316905561558e+03,-9.122531491490003530e-01,1.326044817965993843e+03,9.122531491490003530e-01,7.758234288234337143e-06,-3.934672300599853162e-06,6.686445480075883846e-06,-4.468308143579353686e-01,-8.943695469011543331e-01,-9.122531491490003530e-01,-8.331785316905561558e+03
14,3.400927433632626617e+03,-9.560621405882283597e-01,5.412744121594663511e+02,9.560621405882283597e-01,2.578226072520973402e-06,1.856540464356430580e-06,-1.788996138965686075e-06,6.744935380029370986e-01,-7.379645986916092415e-01,-9.560621405882283597e-01,-3.400927433632626617e+03
15,6.540848006309676748e+03,-9.585340729723792474e-01,1.041008292216953805e+03,9.585340729723792474e-01,4.920944179026828850e-64,4.732947048277149688e-64,1.347183673929671447e-64,-2.608132941212631950e-02,-9.994257548971335892e-01,-9.585340729723792474e-01,-6.540848006309676748e+03
