i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,9.598037689246546506e+03,-5.599176523598408534e-02,1.527575142225900890e+03,5.599176523598408534e-02,6.269182563722706927e-64,6.255205252519267425e-64,-4.183984537975411323e-65,-6.979001021462387655e-01,-7.161760314817002815e-01,-5.599176523598408534e-02,-9.598037689246546506e+03
1,6.983427562916828720e+03,-8.741473562684477783e-02,1.111447016362401200e+03,8.741473562684477783e-02,2.925385401921036589e-64,2.922854446741688052e-64,1.216619617425474215e-65,-1.337372567177118610e-01,-9.909952896457913107e-01,-8.741473562684477783e-02,-6.983427562916828720e+03
2,9.977030561907678930e+03,-3.731976233468817794e-01,1.587893731306517338e+03,3.731976233468817794e-01,3.985987416706087187e-64,3.940660614490316480e-64,-5.994077139510872959e-65,-7.610273159439735480e-01,-6.485793826411125895e-01,-3.731976233468817794e-01,-9.977030561907678930e+03
3,7.451209168284763109e+03,-3.956009088853644218e-01,1.185896771144170316e+03,3.956009088853644218e-01,3.882692396666755257e-64,3.869443856397117990e-64,3.204754114193932077e-65,-2.457778215986309855e-01,-9.692265558469814746e-01,-3.956009088853644218e-01,-7.451209168284763109e+03
4,2.181610019214555905e+03,-4.173753696705707061e-01,3.472140184568013410e+02,4.173753696705707061e-01,2.011251836604190142e-64,1.050447181874677736e-64,1.715136924077863649e-64,8.613920205671490304e-01,-5.077401019233482860e-01,-4.173753696705707061e-01,-2.181610019214555905e+03
5,1.076846598331381756e+04,-4.550263630446001462e-01,1.713854590761321560e+03,4.550263630446001462e-01,8.242220235385893855e-64,8.035624204849229690e-64,-1.833831520899861133e-64,-8.713889091790740782e-01,-4.903664066784227393e-01,-4.550263630446001462e-01,-1.076846598331381756e+04
6,8.779256499849121610e+03,-4.625902570140176251e-01,1.397262068622639163e+03,4.625902570140176251e-01,4.859664139105793600e-64,4.353124338446757738e-64,2.160241662160354215e-64,-5.417385147948279300e-01,-8.404127158406198284e-01,-4.625902570140176251e-01,-8.779256499849121610e+03
7,4.210159601289161401e+03,-8.137603501794382632e-01,6.700677117509732170e+02,8.137603501794382632e-01,1.951883947407401383e-64,1.796739459392986919e-64,7.626127845813338369e-65,5.165402372137735121e-01,-8.560309096923975902e-01,-8.137603501794382632e-01,-4.210159601289161401e+03
8,6.540848006309676748e+03,-9.585340729723792474e-01,1.041008292216953805e+03,9.585340729723792474e-01,4.920944179026828850e-64,4.732947048277149688e-64,1.347183673929671447e-64,-2.608132941212631950e-02,-9.994257548971335892e-01,-9.585340729723792474e-01,-6.540848006309676748e+03
9,1.044659284377715085e+04,-1.182041288343132601e+00,1.662626889555553589e+03,1.182041288343132601e+00,6.701970878309977209e-64,6.249270522678167551e-64,-2.421369775168748681e-64,-8.300579809554444743e-01,-5.571595338716750501e-01,-1.182041288343132601e+00,-1.044659284377715085e+04
10,5.029693338076035616e+03,-1.218798195126328254e+00,8.005005569911766088e+02,1.218798195126328254e+00,3.277843754809961831e-64,3.237395128319981385e-64,5.133541312551391198e-65,3.360667801391623022e-01,-9.415222674091505706e-01,-1.218798195126328254e+00,-5.029693338076035616e+03
11,6.602548531943728449e+03,-1.404774453124331801e+00,1.050828235862981273e+03,1.404774453124331801e+00,3.019293442118394177e-64,2.893180797536188681e-64,8.635031918800316986e-65,-4.112827473906439935e-02,-9.988106803513071563e-01,-1.404774453124331801e+00,-6.602548531943728449e+03
12,1.805510468607347320e+03,-1.536046637786441460e+00,2.873559158830236697e+02,1.536046637786441460e+00,3.382026831098665425e-64,2.895406321226601134e-64,1.747777938203912957e-64,9.040721807361753459e-01,-4.265017590155443239e-01,-1.536046637786441460e+00,-1.805510468607347320e+03
13,2.964742097102741809e+03,-1.837380763496528679e+00,4.718533597465333287e+02,1.837380763496528679e+00,1.706959905690462064e-64,9.132065542992431452e-65,1.442139351387269435e-64,7.489493430537657037e-01,-6.619502438173401337e-01,-1.837380763496528679e+00,-2.964742097102741809e+03
14,2.732242866743091781e+03,-2.035417903558192965e+00,4.348499579697337367e+02,2.035417903558192965e+00,2.644216970112622205e-64,2.214396071960390567e-64,1.445106716307819372e-64,7.852589306684316650e-01,-6.183648187914206895e-01,-2.035417903558192965e+00,-2.732242866743091781e+03
15,1.001633482963212600e+03,-2.117130036173402452e+00,1.594149199799470296e+02,2.117130036173402452e+00,2.051260757366391288e-64,1.358311292381733711e-64,1.537095028844867422e-64,9.697475673469558854e-01,-2.419843690503798717e-01,-2.117130036173402452e+00,-1.001633482963212600e+03
