i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.078802893614871027e+04,-1.096143183406398336e+01,1.716968131406468274e+03,1.096143183406398336e+01,1.255337506782638335e-01,1.178471888987003557e-01,4.325231355692482627e-02,-8.714827483726814705e-01,-4.849534570280297774e-01,-1.096143183406398336e+01,-1.078802893614871027e+04
1,9.282382080841331117e+03,-2.946381847711933943e+01,1.477336991833531101e+03,2.946381847711933943e+01,2.550662933966368340e-01,-8.692599149523677626e-02,-2.397971768592558617e-01,-6.361082449736159550e-01,-7.622877826809076884e-01,-2.946381847711933943e+01,-9.282382080841331117e+03
2,3.420898367674420115e+03,-7.391777911587293204e+01,5.444528850303800027e+02,7.391777911587293204e+01,1.216010839969752788e-01,1.197397968216112052e-01,2.119444942334437754e-02,6.590427725931264913e-01,-7.281576289247603251e-01,-7.391777911587293204e+01,-3.420898367674420115e+03
3,6.897675444455376237e+03,-2.540762609049962748e+02,1.097799142828659342e+03,2.540762609049962748e+02,2.071433105733983260e-01,-9.363157646759320829e-02,1.847741296921746879e-01,-1.061704789719140757e-01,-9.338383551111086867e-01,-2.540762609049962748e+02,-6.897675444455376237e+03
