i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.079580300951839854e+04,-1.393757276971353853e+01,1.718205413611213089e+03,1.393757276971353853e+01,1.512490045353661050e-01,1.323234040698514913e-01,-7.325829719769631765e-02,-8.717679498054884402e-01,-4.829475032626535658e-01,-1.393757276971353853e+01,-1.079580300951839854e+04
1,3.463044658121591056e+03,-2.545980936928041416e+01,5.511606754880340304e+02,2.545980936928041416e+01,2.255979666965797215e-01,-1.768607360800626416e-01,-1.400525708826850235e-01,6.592691173211024935e-01,-7.436461765387423206e-01,-2.545980936928041416e+01,-3.463044658121591056e+03
2,9.316747777031903752e+03,-3.574780676459808859e+01,1.482806462255055067e+03,3.574780676459808859e+01,3.137904319246058726e-01,-2.150526835966830308e-03,3.137830626432192571e-01,-6.414964990191129868e-01,-7.557636625984789358e-01,-3.574780676459808859e+01,-9.316747777031903752e+03
3,6.531849730487016132e+03,-4.980126139613583973e+02,1.039576172140473091e+03,4.980126139613583973e+02,2.802733985442804610e-01,-2.793014002498775961e-01,-2.332178702455614538e-02,-2.115609905696383408e-02,-8.852629239984536325e-01,-4.980126139613583973e+02,-6.531849730487016132e+03
