i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.079580300951839854e+04,-1.393757276971353853e+01,1.718205413611213089e+03,1.393757276971353853e+01,1.512490045353661050e-01,1.323234040698514913e-01,-7.325829719769631765e-02,-8.717679498054884402e-01,-4.829475032626535658e-01,-1.393757276971353853e+01,-1.079580300951839854e+04
1,9.316747777031903752e+03,-3.574780676459808859e+01,1.482806462255055067e+03,3.574780676459808859e+01,3.137904319246058726e-01,-2.150526835966830308e-03,3.137830626432192571e-01,-6.414964990191129868e-01,-7.557636625984789358e-01,-3.574780676459808859e+01,-9.316747777031903752e+03
