i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,5.629084405545574555e+03,-2.857811589704939426e-02,8.958966082240814330e+02,2.857811589704939426e-02,4.254363052097035608e-02,4.253692843982317950e-02,-7.551270159401185511e-04,1.952445108448368494e-01,-9.807474837715192129e-01,-2.857811589704939426e-02,-5.629084405545574555e+03
1,9.598714970730108689e+03,-1.044172932328660403e-01,1.527682934921874221e+03,1.044172932328660403e-01,4.404517682275486956e-02,4.397385963333422243e-02,-2.505448122704034830e-03,-6.980102613183025717e-01,-7.160521568905486856e-01,-1.044172932328660403e-01,-9.598714970730108689e+03
2,7.434025976151801842e+03,-4.334518659356760839e-01,1.183161981178111773e+03,4.334518659356760839e-01,4.667784185258857382e-02,4.193847720358609421e-02,2.049353678259462075e-02,-2.417074200676361806e-01,-9.702401244335634445e-01,-4.334518659356760839e-01,-7.434025976151801842e+03
3,9.300877846753188351e+03,-4.592344177419892537e-01,1.480280684404673821e+03,4.592344177419892537e-01,5.754407488209058869e-02,5.753978147741822813e-02,7.029235851833126603e-04,-6.440887192058195598e-01,-7.648042307513616134e-01,-4.592344177419892537e-01,-9.300877846753188351e+03
4,8.643082100447192715e+03,-5.181292354023532276e-01,1.375589239835252329e+03,5.181292354023532276e-01,3.553572955224552909e-02,-1.420323662663884601e-02,-3.257385675872663533e-02,-5.134972292622268508e-01,-8.579438412560985716e-01,-5.181292354023532276e-01,-8.643082100447192715e+03
5,9.077653353923768009e+03,-7.532231958862006804e-01,1.444753402951690077e+03,7.532231958862006804e-01,6.567480633583426541e-02,3.544264264500829320e-02,5.529013718184806053e-02,-6.014294993390427724e-01,-7.986957118863838856e-01,-7.532231958862006804e-01,-9.077653353923768009e+03
6,7.030608882008075398e+02,-7.750364429516511944e-01,1.118956156517369180e+02,7.750364429516511944e-01,4.637539094985447530e-02,3.678662701161331677e-02,2.823864300670778094e-02,9.851185851000807681e-01,-1.707718042448353180e-01,-7.750364429516511944e-01,-7.030608882008075398e+02
7,8.958886704042182828e+03,-8.145330239263893768e-01,1.425851103548571473e+03,8.145330239263893768e-01,4.924342053607336234e-02,-4.197529705510413822e-02,2.574857089681556466e-02,-5.780124904711014810e-01,-8.157842354059675616e-01,-8.145330239263893768e-01,-8.958886704042182828e+03
