i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,5.629084405545575464e+03,-2.857811588875505682e-02,8.958966082240815467e+02,2.857811588875505682e-02,2.651656552669969568e-57,2.415748870172034842e-57,-1.093361728605919462e-57,1.952445108448371824e-01,-9.807474837715212113e-01,-2.857811588875505682e-02,-5.629084405545575464e+03
1,4.720997334578253685e+03,-5.645249083870843010e-02,7.513700621217915341e+02,5.645249083870843010e-02,1.945963023055082227e-25,1.824287399621969996e-25,-6.773090658467412231e-26,4.061189397664480838e-01,-9.138051446835295799e-01,-5.645249083870843010e-02,-4.720997334578253685e+03
2,9.598714970730108689e+03,-1.044172932422111344e-01,1.527682934921874221e+03,1.044172932422111344e-01,1.561399329201751007e-57,1.197701269423933627e-57,-1.001738256458230665e-57,-6.980102613183012394e-01,-7.160521568905467982e-01,-1.044172932422111344e-01,-9.598714970730108689e+03
3,4.272364063496082053e+03,-1.539338025745813077e-01,6.799678593935776689e+02,1.539338025745813077e-01,1.776107916669482261e-25,1.353992470754699885e-25,1.149462361626335096e-25,5.035620546599568481e-01,-8.639155612337185985e-01,-1.539338025745813077e-01,-4.272364063496082053e+03
4,4.537106912399171961e+03,-2.565691033261712217e-01,7.221029924447351505e+02,2.565691033261712217e-01,1.798678414559754882e-25,-1.205012497314002936e-25,-1.335360970045277003e-25,4.466995165552557490e-01,-8.946140351423979009e-01,-2.565691033261712217e-01,-4.537106912399171961e+03
5,7.434025976151800023e+03,-4.334518659292763698e-01,1.183161981178111546e+03,4.334518659292763698e-01,1.758773437191011071e-57,-5.228007427551650245e-59,-1.757996244934109516e-57,-2.417074200676359585e-01,-9.702401244335651098e-01,-4.334518659292763698e-01,-7.434025976151800023e+03
6,9.300877846753182894e+03,-4.592344177083548806e-01,1.480280684404672911e+03,4.592344177083548806e-01,1.457835760956470078e-57,1.420406251967288286e-57,3.282242911421554736e-58,-6.440887192058240007e-01,-7.648042307513686078e-01,-4.592344177083548806e-01,-9.300877846753182894e+03
7,8.643082100447214543e+03,-5.181292354012083656e-01,1.375589239835255739e+03,5.181292354012083656e-01,1.513525145040887786e-57,9.530781627797542602e-58,-1.175755238263223017e-57,-5.134972292622318468e-01,-8.579438412560959071e-01,-5.181292354012083656e-01,-8.643082100447214543e+03
8,1.830822951808775315e+03,-5.497417405790597789e-01,2.913845227064614960e+02,5.497417405790597789e-01,1.293813136171539676e-25,1.264815148823371181e-25,2.723877211567142884e-26,9.016363216763809696e-01,-4.321846259104407673e-01,-5.497417405790597789e-01,-1.830822951808775315e+03
9,9.077653353923775285e+03,-7.532231958904621605e-01,1.444753402951691442e+03,7.532231958904621605e-01,1.377006062038202849e-57,7.912051083498410772e-58,1.127004956249561254e-57,-6.014294993390435495e-01,-7.986957118863819982e-01,-7.532231958904621605e-01,-9.077653353923775285e+03
10,7.030608882008061755e+02,-7.750364429491175544e-01,1.118956156517367049e+02,7.750364429491175544e-01,5.024658409255352863e-57,-4.170283605269303372e-57,2.802842625143729600e-57,9.851185851000814342e-01,-1.707718042448350959e-01,-7.750364429491175544e-01,-7.030608882008061755e+02
11,5.410376055633227224e+03,-8.054258823108046972e-01,8.610880932400594929e+02,8.054258823108046972e-01,1.829695715125335413e-25,-1.139188996218686032e-25,1.431794273225827503e-25,2.472620601444365795e-01,-9.687457233860468087e-01,-8.054258823108046972e-01,-5.410376055633227224e+03
12,8.958886704042171914e+03,-8.145330239196792999e-01,1.425851103548569654e+03,8.145330239196792999e-01,1.368693423938707684e-57,-1.223841375753100298e-57,6.128082699571064265e-58,-5.780124904710999267e-01,-8.157842354059706702e-01,-8.145330239196792999e-01,-8.958886704042171914e+03
13,9.757485379129890134e+03,-8.283478207810416327e-01,1.552952030235418533e+03,8.283478207810416327e-01,1.290068171671720678e-57,3.384140962845710372e-58,1.244890271066616166e-57,-7.251066570075133111e-01,-6.883429022221811966e-01,-8.283478207810416327e-01,-9.757485379129890134e+03
14,6.488423106836002262e+03,-9.498415022860499102e-01,1.032664610324622799e+03,9.498415022860499102e-01,2.314499700053657743e-25,1.945155547142175040e-26,2.306311462166958233e-25,-1.328787268751324691e-02,-9.996798238322431862e-01,-9.498415022860499102e-01,-6.488423106836002262e+03
15,7.981843915771954926e+03,-1.014576710271446025e+00,1.270349914183076635e+03,1.014576710271446025e+00,1.426143341661892911e-57,-1.370528440013681987e-57,-3.943813206532656695e-58,-3.688743911363345784e-01,-9.292127891227084380e-01,-1.014576710271446025e+00,-7.981843915771954926e+03
