i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.914195229141161917e+03,-4.449736850511685528e-03,3.046536327607391854e+02,4.449736850511685528e-03,1.326416413309596999e-68,1.177620063896289187e-68,6.104027249332975678e-69,8.927720750664023264e-01,-4.505062144531625790e-01,-4.449736850511685528e-03,-1.914195229141161917e+03
1,3.258889670169182409e+03,-1.019725388240910052e-02,5.186683999985417586e+02,1.019725388240910052e-02,1.346586402455390480e-68,-1.064375624499684982e-68,-8.248633033713260144e-69,6.998350358743492539e-01,-7.143010173920179007e-01,-1.019725388240910052e-02,-3.258889670169182409e+03
2,4.529541745188910681e+03,-1.237311309777901491e-01,7.208989586879054059e+02,1.237311309777901491e-01,1.364036606987951750e-68,5.318048914080377295e-69,1.256096900194283861e-68,4.483656149817358827e-01,-8.938164585281125341e-01,-1.237311309777901491e-01,-4.529541745188910681e+03
3,7.003302418419888454e+03,-1.508457809757720036e-01,1.114610197858950414e+03,1.508457809757720036e-01,1.592672282370615921e-68,-8.552762844989026977e-69,-1.343542882160960095e-68,-1.385420844274933561e-01,-9.903193618164134460e-01,-1.508457809757720036e-01,-7.003302418419888454e+03
4,2.567846125147417752e+03,-1.754444702302569992e-01,4.086854039165812083e+02,1.754444702302569992e-01,1.276789968598361530e-68,1.050241328419375339e-68,7.260755993650458009e-69,8.098061573612614916e-01,-5.866245178338578281e-01,-1.754444702302569992e-01,-2.567846125147417752e+03
5,6.047081419495735645e+03,-2.288608489608243701e-01,9.624228991919014788e+02,2.288608489608243701e-01,1.446689901900561258e-68,-1.194589864097278364e-68,-8.160065740281151288e-69,9.431241809710083634e-02,-9.954865270684971623e-01,-2.288608489608243701e-01,-6.047081419495735645e+03
6,1.043785380761501438e+04,-6.403890597962036413e-01,1.661236028752490711e+03,6.403890597962036413e-01,2.303309180394789870e-68,-1.646913803903110874e-68,1.610250944109117464e-68,-8.289769789102583442e-01,-5.590031550435392571e-01,-6.403890597962036413e-01,-1.043785380761501438e+04
7,3.970387812386043151e+03,-6.768810035345165232e-01,6.319068463330555687e+02,6.768810035345165232e-01,1.162713777125774298e-68,1.045174440539899758e-68,-5.094248878492219112e-69,5.657561341917602959e-01,-8.243722114031623027e-01,-6.768810035345165232e-01,-3.970387812386043151e+03
8,7.687872263495669358e+03,-6.774828322516674994e-01,1.223562872594413875e+03,6.774828322516674994e-01,1.493831650030039174e-68,1.263415344179801294e-68,-7.970662875335425752e-69,-3.013168045852749888e-01,-9.533506363449583132e-01,-6.774828322516674994e-01,-7.687872263495669358e+03
9,9.253751521770855106e+03,-1.003747169109588944e+00,1.472780296833980401e+03,1.003747169109588944e+00,1.689986398980853882e-68,7.713715840789247111e-70,1.688225070164825249e-68,-6.351624232615782351e-01,-7.720613351533684998e-01,-1.003747169109588944e+00,-9.253751521770855106e+03
10,7.440329250197641159e+03,-1.066981938623347004e+00,1.184165178400169907e+03,1.066981938623347004e+00,1.320648133499760866e-68,1.238269382417181673e-68,4.591300786101619390e-69,-2.431626085341600241e-01,-9.697170176017585463e-01,-1.066981938623347004e+00,-7.440329250197641159e+03
11,2.885160924438511302e+03,-1.410833929581693180e+00,4.591876227399714026e+02,1.410833929581693180e+00,9.416870589211814357e-69,-1.311675738782019965e-69,-9.325071498398987219e-69,7.617475311921744208e-01,-6.473422990921307019e-01,-1.410833929581693180e+00,-2.885160924438511302e+03
12,9.313882885251770858e+03,-1.597805563203476664e+00,1.482350500566823484e+03,1.597805563203476664e+00,1.470644155631147081e-68,-9.631702851714671233e-69,-1.111349285443044073e-68,-6.463340791585383549e-01,-7.625433652460295031e-01,-1.597805563203476664e+00,-9.313882885251770858e+03
13,2.645514875756897709e+03,-1.639506505892290633e+00,4.210467694998516208e+02,1.639506505892290633e+00,8.861560198823376356e-69,3.361960000000208421e-69,8.199053245086848968e-69,7.982522338108855031e-01,-6.016586667511212294e-01,-1.639506505892290633e+00,-2.645514875756897709e+03
14,3.587938482178646609e+03,-1.643904038375584964e+00,5.710381449483638789e+02,1.643904038375584964e+00,9.022962995324855877e-69,-2.598053331149160047e-69,-8.640832141842962598e-69,6.400016232800188609e-01,-7.678512595207812597e-01,-1.643904038375584964e+00,-3.587938482178646609e+03
15,1.061301119516771541e+04,-1.678917403445960632e+00,1.689113192800565912e+03,1.678917403445960632e+00,1.846672713075558675e-68,-1.075772035358780933e-68,1.500971231289217534e-68,-8.519004906207212624e-01,-5.229207455463797949e-01,-1.678917403445960632e+00,-1.061301119516771541e+04
