i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,2.508491386612370661e+03,-2.995093251173185089e-02,3.992388038828015056e+02,2.995093251173185089e-02,1.564303646021819549e-22,-1.493828101764238477e-22,-4.642450854199864249e-23,8.182506206918208624e-01,-5.748489343867844159e-01,-2.995093251173185089e-02,-2.508491386612370661e+03
1,7.789305698978929286e+03,-2.734757653009012857e-01,1.239706505246367669e+03,2.734757653009012857e-01,3.586015044098142939e-23,-6.321705280270652352e-24,-3.529853300066759044e-23,-3.248628416156928989e-01,-9.456905466187115472e-01,-2.734757653009012857e-01,-7.789305698978929286e+03
2,8.992861985810030092e+03,-5.009223486201400677e-01,1.431258437584864168e+03,5.009223486201400677e-01,1.982994045035927342e-23,-1.225054941778261540e-23,-1.559328628696532540e-23,-5.848040258661704183e-01,-8.110238530709932281e-01,-5.009223486201400677e-01,-8.992861985810030092e+03
3,6.114513318140039701e+03,-5.266281489481655642e-01,9.731550191832142218e+02,5.266281489481655642e-01,2.006653629924945007e-22,1.622573817960656125e-22,1.180640925836275747e-22,7.790615316949769942e-02,-9.968317419232871623e-01,-5.266281489481655642e-01,-6.114513318140039701e+03
4,1.385109601604827503e+03,-5.916367938594009335e-01,2.204470398194541474e+02,5.916367938594009335e-01,1.394276983674514879e-23,1.054818329973343896e-23,9.117930675086037030e-24,9.432299276015131406e-01,-3.317053816972083125e-01,-5.916367938594009335e-01,-1.385109601604827503e+03
5,9.687137470303427108e+03,-8.095920505042366599e-01,1.541755812809509052e+03,8.095920505042366599e-01,1.481428843059396141e-23,-3.563832280845529548e-24,1.437922950574311709e-23,-7.131814234330573488e-01,-7.006975287352917858e-01,-8.095920505042366599e-01,-9.687137470303427108e+03
6,4.599459291760565975e+03,-1.176301667576779897e+00,7.320266818336421011e+02,1.176301667576779897e+00,7.445410592247859853e-23,7.124420250234978564e-23,2.162585255012710115e-23,4.329325780630383091e-01,-9.011077525577465552e-01,-1.176301667576779897e+00,-4.599459291760565975e+03
7,6.699956755886597421e+03,-1.263814532582510086e+00,1.066331236201291176e+03,1.263814532582510086e+00,6.452329770515751426e-23,-4.300286510473563442e-23,4.810415303830113023e-23,-6.486965986081574820e-02,-9.975845932325544396e-01,-1.263814532582510086e+00,-6.699956755886597421e+03
8,8.646843660316189926e+03,-1.416852537607364848e+00,1.376187910682139318e+03,1.416852537607364848e+00,1.823465762711461347e-23,1.210201870872936297e-23,-1.363979039251166601e-23,-5.141720756062720943e-01,-8.572837881312335151e-01,-1.416852537607364848e+00,-8.646843660316189926e+03
9,8.435523659865806621e+03,-1.469704916094221270e+00,1.342555288036279080e+03,1.469704916094221270e+00,1.926174209866933225e-23,-1.826264188694267702e-23,6.122958434036390290e-24,-4.692726897053490775e-01,-8.826470250204809798e-01,-1.469704916094221270e+00,-8.435523659865806621e+03
10,5.237113303257298867e+03,-1.525300769653065602e+00,8.335124697457234788e+02,1.525300769653065602e+00,1.421480422159480119e-22,5.962222639819720318e-23,-1.290397459124476837e-22,2.879564496791308659e-01,-9.572547124973522781e-01,-1.525300769653065602e+00,-5.237113303257298867e+03
11,6.267912693409328995e+02,-1.537006929617365403e+00,9.975692880245301808e+01,1.537006929617365403e+00,1.334462139341836738e-23,1.249230016390489151e-23,-4.692691844621910508e-24,9.879436806764068102e-01,-1.523714989593971114e-01,-1.537006929617365403e+00,-6.267912693409328995e+02
12,6.835273570100639517e+03,-1.867349939877871234e+00,1.087867576066903666e+03,1.867349939877871234e+00,4.818918068651998847e-23,8.923860088124061070e-26,-4.818909805869148705e-23,-9.777039740050338934e-02,-9.947510105475131370e-01,-1.867349939877871234e+00,-6.835273570100639517e+03
13,1.073493772490948504e+04,-2.276535099460048617e+00,1.708518402703009542e+03,2.276535099460048617e+00,8.445562512753801166e-24,8.354457074120795431e-24,1.237163349564355616e-24,-8.669601860156685991e-01,-4.972615650201513415e-01,-2.276535099460048617e+00,-1.073493772490948504e+04
14,6.969191809193479457e+03,-2.501233514804406699e+00,1.109181325788691311e+03,2.501233514804406699e+00,3.654699196996043977e-23,3.225457892044674936e-23,1.718501558675537759e-23,-1.302154661680320347e-01,-9.908700078382852716e-01,-2.501233514804406699e+00,-6.969191809193479457e+03
15,1.129875051995154536e+04,-2.781103268881777613e+00,1.798251996012411155e+03,2.781103268881777613e+00,1.867935044445386846e-15,-1.539467113462248661e-15,1.057933049316165924e-15,-9.268775468278712681e-01,-3.735518360510224345e-01,-2.781103268881777613e+00,-1.129875051995154536e+04
