i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.914195229141161917e+03,-4.449736850511685528e-03,3.046536327607391854e+02,4.449736850511685528e-03,1.326416413309596999e-68,1.177620063896289187e-68,6.104027249332975678e-69,8.927720750664023264e-01,-4.505062144531625790e-01,-4.449736850511685528e-03,-1.914195229141161917e+03
1,3.258889670169182409e+03,-1.019725388240910052e-02,5.186683999985417586e+02,1.019725388240910052e-02,1.346586402455390480e-68,-1.064375624499684982e-68,-8.248633033713260144e-69,6.998350358743492539e-01,-7.143010173920179007e-01,-1.019725388240910052e-02,-3.258889670169182409e+03
2,2.508491386612370661e+03,-2.995093251173185089e-02,3.992388038828015056e+02,2.995093251173185089e-02,1.564303646021819549e-22,-1.493828101764238477e-22,-4.642450854199864249e-23,8.182506206918208624e-01,-5.748489343867844159e-01,-2.995093251173185089e-02,-2.508491386612370661e+03
3,4.529541745188910681e+03,-1.237311309777901491e-01,7.208989586879054059e+02,1.237311309777901491e-01,1.364036606987951750e-68,5.318048914080377295e-69,1.256096900194283861e-68,4.483656149817358827e-01,-8.938164585281125341e-01,-1.237311309777901491e-01,-4.529541745188910681e+03
4,7.003302418419888454e+03,-1.508457809757720036e-01,1.114610197858950414e+03,1.508457809757720036e-01,1.592672282370615921e-68,-8.552762844989026977e-69,-1.343542882160960095e-68,-1.385420844274933561e-01,-9.903193618164134460e-01,-1.508457809757720036e-01,-7.003302418419888454e+03
5,2.567846125147417752e+03,-1.754444702302569992e-01,4.086854039165812083e+02,1.754444702302569992e-01,1.276789968598361530e-68,1.050241328419375339e-68,7.260755993650458009e-69,8.098061573612614916e-01,-5.866245178338578281e-01,-1.754444702302569992e-01,-2.567846125147417752e+03
6,6.047081419495735645e+03,-2.288608489608243701e-01,9.624228991919014788e+02,2.288608489608243701e-01,1.446689901900561258e-68,-1.194589864097278364e-68,-8.160065740281151288e-69,9.431241809710083634e-02,-9.954865270684971623e-01,-2.288608489608243701e-01,-6.047081419495735645e+03
7,7.789305698978929286e+03,-2.734757653009012857e-01,1.239706505246367669e+03,2.734757653009012857e-01,3.586015044098142939e-23,-6.321705280270652352e-24,-3.529853300066759044e-23,-3.248628416156928989e-01,-9.456905466187115472e-01,-2.734757653009012857e-01,-7.789305698978929286e+03
8,8.992861985810030092e+03,-5.009223486201400677e-01,1.431258437584864168e+03,5.009223486201400677e-01,1.982994045035927342e-23,-1.225054941778261540e-23,-1.559328628696532540e-23,-5.848040258661704183e-01,-8.110238530709932281e-01,-5.009223486201400677e-01,-8.992861985810030092e+03
9,6.114513318140039701e+03,-5.266281489481655642e-01,9.731550191832142218e+02,5.266281489481655642e-01,2.006653629924945007e-22,1.622573817960656125e-22,1.180640925836275747e-22,7.790615316949769942e-02,-9.968317419232871623e-01,-5.266281489481655642e-01,-6.114513318140039701e+03
10,1.385109601604827503e+03,-5.916367938594009335e-01,2.204470398194541474e+02,5.916367938594009335e-01,1.394276983674514879e-23,1.054818329973343896e-23,9.117930675086037030e-24,9.432299276015131406e-01,-3.317053816972083125e-01,-5.916367938594009335e-01,-1.385109601604827503e+03
11,1.043785380761501438e+04,-6.403890597962036413e-01,1.661236028752490711e+03,6.403890597962036413e-01,2.303309180394789870e-68,-1.646913803903110874e-68,1.610250944109117464e-68,-8.289769789102583442e-01,-5.590031550435392571e-01,-6.403890597962036413e-01,-1.043785380761501438e+04
12,3.970387812386043151e+03,-6.768810035345165232e-01,6.319068463330555687e+02,6.768810035345165232e-01,1.162713777125774298e-68,1.045174440539899758e-68,-5.094248878492219112e-69,5.657561341917602959e-01,-8.243722114031623027e-01,-6.768810035345165232e-01,-3.970387812386043151e+03
13,7.687872263495669358e+03,-6.774828322516674994e-01,1.223562872594413875e+03,6.774828322516674994e-01,1.493831650030039174e-68,1.263415344179801294e-68,-7.970662875335425752e-69,-3.013168045852749888e-01,-9.533506363449583132e-01,-6.774828322516674994e-01,-7.687872263495669358e+03
14,9.687137470303427108e+03,-8.095920505042366599e-01,1.541755812809509052e+03,8.095920505042366599e-01,1.481428843059396141e-23,-3.563832280845529548e-24,1.437922950574311709e-23,-7.131814234330573488e-01,-7.006975287352917858e-01,-8.095920505042366599e-01,-9.687137470303427108e+03
15,9.253751521770855106e+03,-1.003747169109588944e+00,1.472780296833980401e+03,1.003747169109588944e+00,1.689986398980853882e-68,7.713715840789247111e-70,1.688225070164825249e-68,-6.351624232615782351e-01,-7.720613351533684998e-01,-1.003747169109588944e+00,-9.253751521770855106e+03
