i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,9.556484591954736970e+03,-5.048590964911830348e+00,1.520961761391130949e+03,5.048590964911830348e+00,1.204669018239107603e-01,9.611042989599233310e-02,-7.262960622404128486e-02,-6.897575966388462820e-01,-7.223381213222673791e-01,-5.048590964911830348e+00,-9.556484591954736970e+03
1,7.130331312980591065e+03,-5.156072910403191933e+00,1.134827474343785298e+03,5.156072910403191933e+00,1.020145028500437645e-01,1.730585730490255547e-02,1.005358945585303754e-01,-1.689766185864995385e-01,-9.843436672101877338e-01,-5.156072910403191933e+00,-7.130331312980591065e+03
2,7.899203564331123744e+03,-5.381914387618827789e+01,1.257197293752416954e+03,5.381914387618827789e+01,1.718386447059324917e-01,-1.448245586623778391e-01,9.248982118384260764e-02,-3.455690869470241511e-01,-9.244703414362741567e-01,-5.381914387618827789e+01,-7.899203564331123744e+03
